state_id,ready_jobs,machine_idle,proc_times_sample,makespan,num_actions,actions
88,"[1, 0, 1, 1]","[1, 0, 1, 1]","[2, 3, 6, 4, 0, 0]",4,8,J1-Op2-M1->sid115; J1-Op2-M3->sid128; J1-Op2-M4->sid74; J3-Op2-M3->sid143; J3-Op2-M4->sid76; J4-Op1-M1->sid144; J4-Op1-M3->sid145; J4-Op1-M4->sid99
89,"[1, 0, 1, 1]","[1, 1, 1, 0]","[2, 3, 6, 4, 0, 0]",5,7,J1-Op2-M1->sid116; J1-Op2-M2->sid122; J1-Op2-M3->sid129; J3-Op2-M2->sid146; J3-Op2-M3->sid147; J4-Op1-M1->sid142; J4-Op1-M3->sid148
90,"[1, 1, 0, 1]","[1, 0, 1, 1]","[2, 3, 6, 4, 5, 2]",5,8,J1-Op2-M1->sid117; J1-Op2-M3->sid130; J1-Op2-M4->sid124; J2-Op2-M1->sid138; J2-Op2-M4->sid146; J4-Op1-M1->sid149; J4-Op1-M3->sid150; J4-Op1-M4->sid151
91,"[1, 1, 0, 1]","[1, 1, 0, 1]","[2, 3, 6, 4, 5, 2]",7,8,J1-Op2-M1->sid118; J1-Op2-M2->sid123; J1-Op2-M4->sid135; J2-Op2-M1->sid139; J2-Op2-M2->sid143; J2-Op2-M4->sid147; J4-Op1-M1->sid152; J4-Op1-M4->sid153
92,"[1, 1, 0, 1]","[1, 1, 1, 0]","[2, 3, 6, 4, 5, 2]",6,7,J1-Op2-M1->sid119; J1-Op2-M2->sid124; J1-Op2-M3->sid131; J2-Op2-M1->sid140; J2-Op2-M2->sid76; J4-Op1-M1->sid154; J4-Op1-M3->sid155
93,"[1, 1, 1, 0]","[0, 1, 1, 1]","[2, 3, 6, 4, 5, 2]",7,8,J1-Op2-M2->sid125; J1-Op2-M3->sid132; J1-Op2-M4->sid136; J2-Op2-M2->sid144; J2-Op2-M4->sid142; J3-Op2-M2->sid149; J3-Op2-M3->sid152; J3-Op2-M4->sid154
94,"[1, 1, 1, 0]","[1, 1, 0, 1]","[2, 3, 6, 4, 5, 2]",6,8,J1-Op2-M1->sid120; J1-Op2-M2->sid126; J1-Op2-M4->sid137; J2-Op2-M1->sid141; J2-Op2-M2->sid145; J2-Op2-M4->sid148; J3-Op2-M2->sid150; J3-Op2-M4->sid155
95,"[1, 1, 1, 0]","[1, 1, 1, 0]","[2, 3, 6, 4, 5, 2]",5,7,J1-Op2-M1->sid96; J1-Op2-M2->sid81; J1-Op2-M3->sid133; J2-Op2-M1->sid142; J2-Op2-M2->sid99; J3-Op2-M2->sid151; J3-Op2-M3->sid153
96,"[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0, 5, 2]",5,3,J2-Op2-M2->sid80; J3-Op2-M2->sid71; J3-Op2-M3->sid156
97,"[0, 1, 1, 0]","[1, 0, 1, 0]","[0, 0, 0, 0, 5, 2]",6,2,J2-Op2-M1->sid105; J3-Op2-M3->sid157
98,"[0, 1, 1, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",9,3,J2-Op2-M1->sid108; J2-Op2-M2->sid158; J3-Op2-M2->sid159
99,"[1, 0, 1, 0]","[1, 0, 1, 0]","[2, 3, 6, 4, 0, 0]",5,3,J1-Op2-M1->sid80; J1-Op2-M3->sid158; J3-Op2-M3->sid160
100,"[1, 1, 0, 0]","[1, 0, 1, 0]","[2, 3, 6, 4, 5, 2]",6,3,J1-Op2-M1->sid71; J1-Op2-M3->sid159; J2-Op2-M1->sid109
101,"[1, 1, 0, 0]","[1, 1, 0, 0]","[2, 3, 6, 4, 5, 2]",8,4,J1-Op2-M1->sid156; J1-Op2-M2->sid157; J2-Op2-M1->sid111; J2-Op2-M2->sid160
102,"[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",8,1,"('WAIT',)->sid161"
103,"[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",7,1,J3-Op2-M2->sid162
104,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",8,1,J4-Op1-M1->sid112
105,"[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",8,1,J3-Op2-M3->sid112
106,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",7,1,"('WAIT',)->sid163"
107,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",9,1,J4-Op1-M1->sid164
108,"[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",9,1,J3-Op2-M2->sid164
109,"[1, 0, 0, 0]","[0, 0, 1, 0]","[2, 3, 6, 4, 0, 0]",8,1,J1-Op2-M3->sid164
110,"[1, 0, 0, 0]","[1, 0, 0, 0]","[2, 3, 6, 4, 0, 0]",7,1,J1-Op2-M1->sid162
111,"[1, 0, 0, 0]","[0, 1, 0, 0]","[2, 3, 6, 4, 0, 0]",8,1,J1-Op2-M2->sid112
112,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",8,1,"('WAIT',)->sid165"
113,"[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",7,1,J3-Op2-M3->sid162
114,"[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 5, 2]",7,1,J2-Op2-M1->sid162
115,"[0, 0, 1, 1]","[0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]",4,4,J3-Op2-M3->sid166; J3-Op2-M4->sid55; J4-Op1-M3->sid167; J4-Op1-M4->sid80
116,"[0, 0, 1, 1]","[0, 1, 1, 0]","[0, 0, 0, 0, 0, 0]",5,3,J3-Op2-M2->sid168; J3-Op2-M3->sid169; J4-Op1-M3->sid170
117,"[0, 1, 0, 1]","[0, 0, 1, 1]","[0, 0, 0, 0, 5, 2]",5,3,J2-Op2-M4->sid168; J4-Op1-M3->sid171; J4-Op1-M4->sid172
118,"[0, 1, 0, 1]","[0, 1, 0, 1]","[0, 0, 0, 0, 5, 2]",7,3,J2-Op2-M2->sid166; J2-Op2-M4->sid169; J4-Op1-M4->sid173
119,"[0, 1, 0, 1]","[0, 1, 1, 0]","[0, 0, 0, 0, 5, 2]",6,2,J2-Op2-M2->sid55; J4-Op1-M3->sid174
120,"[0, 1, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 5, 2]",6,4,J2-Op2-M2->sid167; J2-Op2-M4->sid170; J3-Op2-M2->sid171; J3-Op2-M4->sid174
121,"[0, 0, 1, 1]","[0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]",7,4,J3-Op2-M3->sid166; J3-Op2-M4->sid175; J4-Op1-M3->sid176; J4-Op1-M4->sid113
122,"[0, 0, 1, 1]","[1, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",5,3,J3-Op2-M3->sid177; J4-Op1-M1->sid113; J4-Op1-M3->sid178
123,"[0, 1, 0, 1]","[1, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",7,4,J2-Op2-M1->sid166; J2-Op2-M4->sid177; J4-Op1-M1->sid179; J4-Op1-M4->sid114
124,"[0, 1, 0, 1]","[1, 0, 1, 0]","[0, 0, 0, 0, 5, 2]",6,3,J2-Op2-M1->sid175; J4-Op1-M1->sid180; J4-Op1-M3->sid181
125,"[0, 1, 1, 0]","[0, 0, 1, 1]","[0, 0, 0, 0, 5, 2]",7,3,J2-Op2-M4->sid113; J3-Op2-M3->sid179; J3-Op2-M4->sid180
126,"[0, 1, 1, 0]","[1, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",6,3,J2-Op2-M1->sid176; J2-Op2-M4->sid178; J3-Op2-M4->sid181
127,"[0, 0, 1, 1]","[0, 1, 0, 1]","[0, 0, 0, 0, 0, 0]",8,3,J3-Op2-M2->sid182; J3-Op2-M4->sid102; J4-Op1-M4->sid183
128,"[0, 0, 1, 1]","[1, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",8,3,J3-Op2-M4->sid104; J4-Op1-M1->sid184; J4-Op1-M4->sid185
129,"[0, 0, 1, 1]","[1, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",8,2,J3-Op2-M2->sid104; J4-Op1-M1->sid183
130,"[0, 1, 0, 1]","[1, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",8,4,J2-Op2-M1->sid182; J2-Op2-M4->sid104; J4-Op1-M1->sid186; J4-Op1-M4->sid157
131,"[0, 1, 0, 1]","[1, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",8,3,J2-Op2-M1->sid102; J2-Op2-M2->sid104; J4-Op1-M1->sid156
132,"[0, 1, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 5, 2]",8,4,J2-Op2-M2->sid184; J2-Op2-M4->sid183; J3-Op2-M2->sid186; J3-Op2-M4->sid156
133,"[0, 1, 1, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",8,3,J2-Op2-M1->sid183; J2-Op2-M2->sid185; J3-Op2-M2->sid157
134,"[0, 0, 1, 1]","[0, 1, 1, 0]","[0, 0, 0, 0, 0, 0]",7,3,J3-Op2-M2->sid175; J3-Op2-M3->sid169; J4-Op1-M3->sid103
135,"[0, 1, 0, 1]","[1, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",7,3,J2-Op2-M1->sid169; J2-Op2-M2->sid177; J4-Op1-M1->sid173
136,"[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0, 5, 2]",7,3,J2-Op2-M2->sid113; J3-Op2-M2->sid180; J3-Op2-M3->sid173
137,"[0, 1, 1, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",6,3,J2-Op2-M1->sid103; J2-Op2-M2->sid178; J3-Op2-M2->sid181
138,"[1, 0, 0, 1]","[0, 0, 1, 1]","[2, 3, 6, 4, 0, 0]",7,4,J1-Op2-M3->sid182; J1-Op2-M4->sid175; J4-Op1-M3->sid187; J4-Op1-M4->sid188
139,"[1, 0, 0, 1]","[0, 1, 0, 1]","[2, 3, 6, 4, 0, 0]",7,3,J1-Op2-M2->sid166; J1-Op2-M4->sid169; J4-Op1-M4->sid189
140,"[1, 0, 0, 1]","[0, 1, 1, 0]","[2, 3, 6, 4, 0, 0]",7,3,J1-Op2-M2->sid175; J1-Op2-M3->sid102; J4-Op1-M3->sid189
141,"[1, 0, 1, 0]","[0, 1, 0, 1]","[2, 3, 6, 4, 0, 0]",7,4,J1-Op2-M2->sid176; J1-Op2-M4->sid103; J3-Op2-M2->sid187; J3-Op2-M4->sid189
142,"[1, 0, 1, 0]","[0, 1, 1, 0]","[2, 3, 6, 4, 0, 0]",7,4,J1-Op2-M2->sid113; J1-Op2-M3->sid183; J3-Op2-M2->sid188; J3-Op2-M3->sid189
143,"[1, 0, 0, 1]","[1, 0, 0, 1]","[2, 3, 6, 4, 0, 0]",7,4,J1-Op2-M1->sid166; J1-Op2-M4->sid177; J4-Op1-M1->sid187; J4-Op1-M4->sid110
144,"[1, 0, 1, 0]","[0, 0, 1, 1]","[2, 3, 6, 4, 0, 0]",7,4,J1-Op2-M3->sid184; J1-Op2-M4->sid113; J3-Op2-M3->sid187; J3-Op2-M4->sid188
145,"[1, 0, 1, 0]","[1, 0, 0, 1]","[2, 3, 6, 4, 0, 0]",6,3,J1-Op2-M1->sid167; J1-Op2-M4->sid178; J3-Op2-M4->sid72
146,"[1, 0, 0, 1]","[1, 0, 1, 0]","[2, 3, 6, 4, 0, 0]",5,4,J1-Op2-M1->sid168; J1-Op2-M3->sid104; J4-Op1-M1->sid188; J4-Op1-M3->sid72
147,"[1, 0, 0, 1]","[1, 1, 0, 0]","[2, 3, 6, 4, 0, 0]",7,3,J1-Op2-M1->sid169; J1-Op2-M2->sid177; J4-Op1-M1->sid189
148,"[1, 0, 1, 0]","[1, 1, 0, 0]","[2, 3, 6, 4, 0, 0]",6,3,J1-Op2-M1->sid170; J1-Op2-M2->sid178; J3-Op2-M2->sid72
149,"[1, 1, 0, 0]","[0, 0, 1, 1]","[2, 3, 6, 4, 5, 2]",7,3,J1-Op2-M3->sid186; J1-Op2-M4->sid180; J2-Op2-M4->sid188
150,"[1, 1, 0, 0]","[1, 0, 0, 1]","[2, 3, 6, 4, 5, 2]",6,4,J1-Op2-M1->sid171; J1-Op2-M4->sid181; J2-Op2-M1->sid187; J2-Op2-M4->sid72
151,"[1, 1, 0, 0]","[1, 0, 1, 0]","[2, 3, 6, 4, 5, 2]",5,3,J1-Op2-M1->sid172; J1-Op2-M3->sid157; J2-Op2-M1->sid188
152,"[1, 1, 0, 0]","[0, 1, 0, 1]","[2, 3, 6, 4, 5, 2]",7,4,J1-Op2-M2->sid179; J1-Op2-M4->sid173; J2-Op2-M2->sid187; J2-Op2-M4->sid189
153,"[1, 1, 0, 0]","[1, 1, 0, 0]","[2, 3, 6, 4, 5, 2]",7,4,J1-Op2-M1->sid173; J1-Op2-M2->sid114; J2-Op2-M1->sid189; J2-Op2-M2->sid110
154,"[1, 1, 0, 0]","[0, 1, 1, 0]","[2, 3, 6, 4, 5, 2]",7,3,J1-Op2-M2->sid180; J1-Op2-M3->sid156; J2-Op2-M2->sid188
155,"[1, 1, 0, 0]","[1, 1, 0, 0]","[2, 3, 6, 4, 5, 2]",6,4,J1-Op2-M1->sid174; J1-Op2-M2->sid181; J2-Op2-M1->sid189; J2-Op2-M2->sid72
156,"[0, 1, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",8,1,J2-Op2-M2->sid112
157,"[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 5, 2]",8,1,J2-Op2-M1->sid112
158,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",9,1,"('WAIT',)->sid190"
159,"[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 5, 2]",9,1,J2-Op2-M1->sid164
160,"[1, 0, 0, 0]","[1, 0, 0, 0]","[2, 3, 6, 4, 0, 0]",8,1,J1-Op2-M1->sid112
161,"[1, 0, 0, 1]","[1, 1, 0, 0]","[0, 4, 2, 5, 0, 0]",8,2,J1-Op3-M2->sid107; J4-Op1-M1->sid191
162,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",7,1,"('WAIT',)->sid192"
163,"[1, 1, 1, 0]","[1, 1, 0, 1]","[0, 4, 2, 5, 5, 2]",7,7,J1-Op3-M2->sid193; J1-Op3-M4->sid194; J2-Op2-M1->sid195; J2-Op2-M2->sid196; J2-Op2-M4->sid197; J3-Op2-M2->sid198; J3-Op2-M4->sid199
164,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",9,1,"('WAIT',)->sid200"
165,"[0, 1, 0, 1]","[1, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",8,4,J2-Op2-M1->sid201; J2-Op2-M4->sid202; J4-Op2-M1->sid186; J4-Op2-M4->sid159
166,"[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",7,1,J4-Op1-M4->sid162
167,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",6,1,J3-Op2-M4->sid65
168,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",5,1,J4-Op1-M3->sid65
169,"[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",7,1,"('WAIT',)->sid203"
170,"[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",6,1,J3-Op2-M2->sid65
171,"[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",6,1,J2-Op2-M4->sid65
172,"[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 5, 2]",5,1,"('WAIT',)->sid204"
173,"[0, 1, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",7,1,J2-Op2-M2->sid162
174,"[0, 1, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",6,1,J2-Op2-M2->sid65
175,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",7,1,J4-Op1-M3->sid162
176,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",7,1,J3-Op2-M4->sid162
177,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",7,1,J4-Op1-M1->sid162
178,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",6,1,"('WAIT',)->sid205"
179,"[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",7,1,J2-Op2-M4->sid162
180,"[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 5, 2]",7,1,"('WAIT',)->sid206"
181,"[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 5, 2]",6,1,J2-Op2-M1->sid162
182,"[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",8,1,J4-Op1-M4->sid112
183,"[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",8,1,J3-Op2-M2->sid112
184,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",8,1,J3-Op2-M4->sid112
185,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",8,1,"('WAIT',)->sid207"
186,"[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",8,1,J2-Op2-M4->sid112
187,"[1, 0, 0, 0]","[0, 0, 0, 1]","[2, 3, 6, 4, 0, 0]",7,1,J1-Op2-M4->sid162
188,"[1, 0, 0, 0]","[0, 0, 1, 0]","[2, 3, 6, 4, 0, 0]",7,1,J1-Op2-M3->sid112
189,"[1, 0, 0, 0]","[0, 1, 0, 0]","[2, 3, 6, 4, 0, 0]",7,1,J1-Op2-M2->sid162
190,"[0, 0, 1, 1]","[1, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",9,3,J3-Op2-M4->sid208; J4-Op2-M1->sid209; J4-Op2-M4->sid158
191,"[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 4, 2, 5, 0, 0]",10,1,J1-Op3-M2->sid210
192,"[1, 0, 0, 0]","[1, 0, 0, 0]","[0, 4, 2, 5, 0, 0]",7,1,"('WAIT',)->sid211"
193,"[0, 1, 1, 0]","[1, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",10,3,J2-Op2-M1->sid212; J2-Op2-M4->sid213; J3-Op2-M4->sid214
194,"[0, 1, 1, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",11,3,J2-Op2-M1->sid215; J2-Op2-M2->sid216; J3-Op2-M2->sid217
195,"[1, 0, 1, 0]","[0, 1, 0, 1]","[0, 4, 2, 5, 0, 0]",11,4,J1-Op3-M2->sid212; J1-Op3-M4->sid215; J3-Op2-M2->sid218; J3-Op2-M4->sid219
196,"[1, 0, 1, 0]","[1, 0, 0, 1]","[0, 4, 2, 5, 0, 0]",8,2,J1-Op3-M4->sid216; J3-Op2-M4->sid220
197,"[1, 0, 1, 0]","[1, 1, 0, 0]","[0, 4, 2, 5, 0, 0]",9,2,J1-Op3-M2->sid213; J3-Op2-M2->sid221
198,"[1, 1, 0, 0]","[1, 0, 0, 1]","[0, 4, 2, 5, 5, 2]",9,3,J1-Op3-M4->sid217; J2-Op2-M1->sid218; J2-Op2-M4->sid221
199,"[1, 1, 0, 0]","[1, 1, 0, 0]","[0, 4, 2, 5, 5, 2]",10,3,J1-Op3-M2->sid214; J2-Op2-M1->sid219; J2-Op2-M2->sid220
200,"[0, 1, 1, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 5, 2]",9,4,J2-Op2-M2->sid222; J2-Op2-M4->sid223; J3-Op3-M2->sid224; J3-Op3-M4->sid225
201,"[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",9,1,J4-Op2-M4->sid164
202,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",8,1,J4-Op2-M1->sid112
203,"[1, 0, 0, 1]","[1, 1, 0, 0]","[0, 4, 2, 5, 0, 0]",7,2,J1-Op3-M2->sid104; J4-Op1-M1->sid226
204,"[1, 1, 0, 0]","[1, 0, 1, 0]","[0, 4, 2, 5, 5, 2]",5,2,J1-Op3-M3->sid181; J2-Op2-M1->sid227
205,"[1, 1, 1, 0]","[1, 1, 0, 1]","[0, 4, 2, 5, 3, 0]",6,6,J1-Op3-M2->sid228; J1-Op3-M4->sid229; J2-Op3-M1->sid230; J2-Op3-M4->sid231; J3-Op2-M2->sid232; J3-Op2-M4->sid233
206,"[1, 1, 0, 0]","[0, 1, 1, 0]","[0, 4, 2, 5, 5, 2]",7,3,J1-Op3-M2->sid234; J1-Op3-M3->sid173; J2-Op2-M2->sid235
207,"[0, 1, 1, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 3, 0]",8,2,J2-Op3-M1->sid183; J3-Op2-M2->sid236
208,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",9,1,J4-Op2-M1->sid164
209,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",9,1,J3-Op2-M4->sid164
210,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",10,1,"('WAIT',)->sid237"
