state_id,ready_jobs,machine_idle,proc_times_sample,makespan,num_actions,actions
249,"[1, 0, 0, 1]","[1, 0, 1, 0]","[0, 4, 2, 5, 0, 0]",10,3,J1-Op3-M3->sid267; J4-Op2-M1->sid268; J4-Op2-M3->sid220
250,"[1, 0, 0, 1]","[1, 0, 1, 0]","[0, 4, 2, 5, 0, 0]",9,3,J1-Op3-M3->sid208; J4-Op2-M1->sid268; J4-Op2-M3->sid221
251,"[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 3, 0]",9,1,J2-Op3-M1->sid164
252,"[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",10,1,J3-Op2-M2->sid210
253,"[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 3, 0]",10,1,J2-Op3-M1->sid210
254,"[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 4, 2, 5, 0, 0]",8,1,J1-Op3-M4->sid210
255,"[1, 0, 0, 0]","[1, 0, 0, 0]","[0, 4, 2, 5, 0, 0]",8,1,"('WAIT',)->sid269"
256,"[0, 1, 1, 0]","[0, 0, 1, 1]","[0, 0, 0, 0, 5, 2]",9,3,J2-Op2-M4->sid270; J3-Op3-M3->sid271; J3-Op3-M4->sid234
257,"[0, 0, 1, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 0]",11,1,J3-Op3-M4->sid246
258,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",10,1,J3-Op3-M1->sid210
259,"[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",11,1,J3-Op3-M2->sid246
260,"[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",11,1,J3-Op3-M1->sid246
261,"[0, 1, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 5, 2]",11,1,J2-Op2-M2->sid246
262,"[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 4, 2, 5, 0, 0]",10,1,J1-Op3-M4->sid246
263,"[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",11,1,J4-Op2-M3->sid246
264,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",12,1,J4-Op2-M1->sid272
265,"[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",10,1,J3-Op2-M3->sid272
266,"[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",11,1,J3-Op2-M3->sid272
267,"[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",10,1,J4-Op2-M1->sid210
268,"[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 4, 2, 5, 0, 0]",10,1,J1-Op3-M3->sid210
269,"[1, 0, 0, 1]","[1, 0, 1, 0]","[0, 4, 2, 5, 0, 0]",8,3,J1-Op3-M3->sid202; J4-Op2-M1->sid227; J4-Op2-M3->sid255
270,"[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 0, 0]",9,1,J3-Op3-M3->sid272
271,"[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 5, 2]",12,1,J2-Op2-M4->sid272
272,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",12,3,"('WAIT',)->sid273; ('WAIT',)->sid274; ('WAIT',)->sid264"
273,"[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 3, 0]",12,1,J2-Op3-M4->sid272
274,"[0, 1, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 3, 0]",12,1,"('WAIT',)->sid275"
275,"[0, 1, 0, 0]","[1, 1, 0, 0]","[0, 0, 0, 0, 3, 0]",12,1,J2-Op3-M1->sid276
276,"[0, 0, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 0]",13,1,"('WAIT',)->sid277"
277,"[0, 0, 0, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 0, 0]",13,1,"('WAIT',)->sid278"
278,"[0, 0, 1, 0]","[0, 1, 1, 1]","[0, 0, 0, 0, 0, 0]",13,3,J3-Op3-M2->sid279; J3-Op3-M3->sid280; J3-Op3-M4->sid281
279,"[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 0, 0, 0, 0, 0]",14,0,
280,"[0, 0, 0, 0]","[0, 1, 0, 1]","[0, 0, 0, 0, 0, 0]",18,0,
281,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0, 0, 0]",15,0,
