#{"t_start": 1755178569.7981272, "env_id": "None"}
r,l,t
-150.235479,58,0.019288
-150.235479,58,0.029651
-150.235479,58,0.039887
-150.235479,58,0.050508
-150.235479,58,0.060856
-150.235479,58,0.071046
-150.235479,58,0.081486
-150.235479,58,0.091476
-150.235479,58,0.101757
-150.235479,58,0.112488
-150.235479,58,0.12177
