#{"t_start": 1755098909.040798, "env_id": "None"}
r,l,t
-1588.535657,225,8.958852
-2192.277932,225,9.052118
-2250.069309,225,9.148085
-1898.404441,225,9.250272
-2096.933767,225,9.34246
-2497.477899,225,9.433709
-2693.780909,225,9.524757
-2157.353325,225,9.618361
-1985.723902,225,9.714589
